restaurant_name,city,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,rating,tags
Beiyuan Golf Club Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,China Science and Technology Museum,3.8,Outdoor seating; Online queueing; Must-Eat List Top 10
Shaanxi Roujiamo Xiangyue Restaurant (Shenzhen Tong Building Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Beijing Wildlife Park,3.5,Online queueing; Outdoor seating; Waiting area available
Tsinghua University Jiasuo Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,20:30,Tsinghua University,4.9,Private rooms available; Outdoor seating; Must-Eat List Top 10; Waiting area available
Deshi Building Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,08:00,20:00,Western Mansions Ruins Scenic Area,3.8,Must-Eat List Top 10; Birthday set meal service; Online queueing
Inner Mongolia Civil Aviation Airport Group Staff Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Longmenjian Scenic Area,3.9,Waiting Area Available
Wutuli Music Pub (Link Center City Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,03:00,Beijing Wildlife Park,4.6,Waiting area available; Birthday set meal service; Online queueing
Yangchen Restaurant,Beijing,98.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Shidu Juma Paradise,4.1,Must-Eat List Top 10; Online queueing
Shengbaiwei Family Banquet Restaurant (Huoying Branch),Beijing,89.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:30,22:00,Wendu Water City · Water Dream Wonderland,4.5,Private rooms available; Birthday set meal service; Online queueing
Capital Airport Gangshan Road No. 2 Jia Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:00,Luo Hong Photography Art Museum,4.3,Must-Eat List Top 10; Private rooms available; Birthday set meal service; Online queueing
Yindu Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:00,Huguang Guild Hall,4.2,Must-Eat List Top 10; Waiting Area Available
Jinjiang Inn Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Ming City Wall Ruins Park,3.7,Waiting Area Available
Dayou Shangpin Community Restaurant (Central Party School Community Business Department),Beijing,90.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,19:30,Summer Palace,4.7,Outdoor seating; Birthday set meal service; Private rooms available; Waiting area available; Must-Eat List Top 10
Beijing Sanli Mingyue Restaurant,Beijing,123.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Capital Museum,4.4,Outdoor seating; Waiting area available; Birthday set meal service
Chui Wah Restaurant (Bao'an Airport Branch 1),Beijing,60.0,Catering service; Chinese restaurant; Chinese restaurant|Catering service; Bakery; Bakery,05:30,22:00,Beijing Wildlife Park,4.7,Outdoor seating; Waiting area available; Online queueing
Chahuameizi Yunnan Restaurant (Di'anmen Branch),Beijing,67.0,Catering service; Chinese restaurant; Yunnan-Guizhou cuisine,10:00,22:30,Beihai Park,4.6,Private rooms available; Online queueing; Birthday set meal service; Must-Eat List Top 10; Outdoor seating; Waiting area available
Chahuameizi Yunnan Restaurant,Beijing,35.0,Catering service; Chinese restaurant; Yunnan-Guizhou cuisine,10:00,23:00,Nanluoguxiang,4.6,Outdoor seating; Birthday set meal service; Must-Eat List Top 10; Private rooms available
Dingxiangrun,Beijing,66.0,Catering service; Chinese restaurant; Beijing cuisine,11:00,21:30,Shichahai,4.6,Must-Eat List Top 10; Online queueing; Private rooms available; Waiting area available
Jingweijing Restaurant (Changchunli Residential Community Branch),Beijing,51.0,Catering service; Chinese restaurant; Beijing cuisine,10:30,21:00,Baoguo Temple,4.4,Outdoor seating; Private rooms available; Birthday set meal service
Menkuang Hutong Century-old Luzhu Main Store,Beijing,19.0,Catering service; Chinese restaurant; Beijing cuisine,10:30,22:00,Former Residence of Ji Xiaolan,4.4,Birthday set meal service
Tidu (Beijing Fang Branch),Beijing,177.0,Catering service;Chinese restaurant;Beijing cuisine,17:00,21:00,Former Residence of Ji Xiaolan,4.6,Must-Eat List Top 10;Private rooms available;Birthday set meal service;Online queueing;Waiting area available
Old Beijing Flavor Restaurant (Beijing West Railway Station Branch),Beijing,100.0,Catering service; Chinese restaurant; Beijing cuisine,08:30,21:30,Lianhuachi Park,3.0,Must-Eat List Top 10; Birthday set meal service; Waiting area available; Online queueing; Private rooms available; Outdoor seating
Huajia Yiyuan (Qinghua West Road Branch),Beijing,169.0,Catering service; Chinese restaurant; Beijing cuisine,17:00,21:30,Peking University,4.5,Must-Eat List Top 10; Birthday set meal service; Outdoor seating; Private rooms available; Waiting area available
Liu Ye Menkuang Century-old Luzhu (Dashilan West Street Commercial Branch),Beijing,100.0,Catering service; Chinese restaurant; Beijing cuisine,10:00,21:30,Former Residence of Ji Xiaolan,4.4,Birthday set meal service; Outdoor seating; Must-Eat List Top 10; Private rooms available
Juqi Roast Duck · Beijing Cuisine (Beijing APM Branch),Beijing,100.0,Catering service; Chinese restaurant; Beijing cuisine,11:00,21:00,Chang'an Avenue,4.4,Waiting area available; Online queueing; Must-Eat List Top 10; Private rooms available; Birthday set meal service; Outdoor seating
Chengdu Sichuan Cuisine Restaurant (Binshui Xincun Branch),Beijing,49.0,Catering service; Chinese restaurant; Sichuan cuisine (Chuan cuisine),09:00,23:30,Longmenjian Scenic Area,4.4,Must-Eat List Top 10; Online queueing
Laodifang Restaurant (Bagong North Road No. 11 Courtyard Branch),Beijing,15.0,Catering service; Chinese restaurant; Sichuan cuisine (Chuan cuisine),17:00,23:00,Shijingshan Amusement Park,4.6,Private rooms available; Must-Eat List Top 10; Birthday set meal service; Waiting area available
Zhongjian Restaurant (Beijing Happy Valley Branch),Beijing,69.0,Catering service; Chinese restaurant; Sichuan cuisine (Chuan cuisine),17:00,21:00,Beijing Happy Valley,4.6,Online queueing
Huayuan Xiaochu · Sichuan Cuisine · Boiled Fish,Beijing,115.0,Catering service; Chinese restaurant; Sichuan cuisine (Chuan cuisine),10:00,21:00,Tianning Temple Pagoda,4.4,Outdoor seating; Private rooms available; Online queueing; Waiting area available
106 Restaurant (Shilihe Branch),Beijing,120.0,Catering service; Chinese restaurant; Shandong cuisine (Lu cuisine),11:00,22:00,Panjiayuan Antique Market,4.7,Waiting area available; Birthday set meal service
Tangyuan Chinese Restaurant (Fuxingmen Branch),Beijing,331.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:00,21:30,Capital Museum,4.1,Online queueing; Must-Eat List Top 10; Birthday set meal service; Private rooms available; Waiting area available
Huashe · Lingnan Yunnan-Guizhou-Sichuan Bistro (Liangma River Branch),Beijing,74.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),10:00,22:30,Aojia Art Museum,4.5,Outdoor seating; Waiting area available
Chui Wah Restaurant,Beijing,50.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),05:00,22:00,Beijing Wildlife Park,4.5,Private rooms available; Waiting area available; Birthday set meal service
Bird's Nest Cultural Center Guofeng Family Restaurant,Beijing,756.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),11:30,21:30,Beiding Niangniang Temple,4.0,Outdoor seating; Waiting area available; Private rooms available; Must-Eat List Top 10; Online queueing; Birthday set meal service
Zhecha Cha Chaan Teng (Beijing APM Branch),Beijing,97.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:00,21:30,Chang'an Avenue,4.4,Outdoor seating; Online queueing; Private rooms available; Waiting area available; Must-Eat List Top 10
Chaowei (Beijing Shijingshan District),Beijing,100.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:00,21:00,Shijingshan Amusement Park,4.5,Online queueing; Must-Eat List Top 10; Private rooms available
Guangying Restaurant (Summer Palace Branch),Beijing,173.0,Catering service; Chinese restaurant; Zhejiang cuisine,10:00,22:00,Summer Palace,4.2,Waiting area available; Birthday set meal service; Outdoor seating; Must-Eat List Top 10; Private rooms available
70s Red Restaurant (Xiangshan Branch),Beijing,90.0,Catering service; Chinese restaurant; Seafood restaurant,06:00,20:30,Xiangshan Park,4.3,Birthday set meal service
Huahuale Jiaodong Seafood · Fisherman's Cuisine · BBQ (Baiziwan Branch),Beijing,100.0,Catering service; Chinese restaurant; Seafood restaurant,10:00,23:30,Today Art Museum,4.7,Must-Eat List Top 10; Online queueing; Outdoor seating; Birthday set meal service
Wanlongzhou Seafood (Daxing Greenland Binfen City Branch),Beijing,133.0,Catering service; Chinese restaurant; Seafood restaurant,16:30,21:30,World Park,4.7,Must-Eat List Top 10; Online queueing; Outdoor seating; Birthday set meal service; Private rooms available
Steam Town · Steamed Seafood (Main Store),Beijing,123.0,Catering service; Chinese restaurant; Seafood restaurant,11:00,03:00,Academy of Fine Arts Museum,4.4,Private rooms available; Must-Eat List Top 10; Outdoor seating
Xiaotianfei Seafood Restaurant,Beijing,114.0,Catering service; Chinese restaurant; Seafood restaurant,17:00,22:00,LEGOLAND Discovery Centre Beijing,4.4,Waiting area available; Online queueing
Zhonghua Ma's Restaurant,Beijing,55.0,Catering service; Chinese restaurant; Halal restaurant,11:00,21:00,Beijing Auto Museum,4.0,Waiting area available; Must-Eat List Top 10; Birthday set meal service; Private rooms available; Online queueing; Outdoor seating
Heshun Restaurant,Beijing,40.0,Catering service; Chinese restaurant; Halal restaurant,06:00,21:00,World Park,4.2,Must-Eat List Top 10; Private rooms available
Halal Xinjiang Cuisine Restaurant (Gulou East Street Branch),Beijing,76.0,Catering service; Chinese restaurant; Halal restaurant,00:00,03:00,Nanluoguxiang,4.1,Must-Eat List Top 10; Birthday Set Meal Service; Waiting Area Available; Outdoor Seating; Online Queue Numbering
Halal Xilou Wangji Beef Noodles,Beijing,21.0,Catering service; Chinese restaurant; Halal restaurant,08:30,21:00,Beijing Confucius Temple,4.6,Outdoor seating; Online queueing
Old Ciqikou Douzhi Shop,Beijing,56.0,Catering service; Chinese restaurant; Halal restaurant,06:00,20:00,Shenlueshu,4.4,Outdoor seating
Judeyuan Restaurant,Beijing,11.0,Catering service; Chinese restaurant; Halal restaurant,10:30,21:00,Beijing Happy Valley,4.4,Waiting Area Available
Adaxi Xinjiang Cuisine Restaurant (Baiqiao Branch),Beijing,51.0,Catering service; Chinese restaurant; Halal restaurant,10:00,03:00,Ming City Wall Ruins Park,4.5,Outdoor seating
Xunji · Qingnian Road Courtyard · Halal,Beijing,523.0,Catering service; Chinese restaurant; Halal restaurant,10:00,22:00,teamLab Borderless,4.6,Must-Eat List Top 10; Waiting Area Available; Private Rooms Available; Birthday Set Meal Service
Yifeng Restaurant (Gulou Branch),Beijing,100.0,Catering service; Chinese restaurant; Halal restaurant,05:30,22:00,Shichahai,4.5,Outdoor Seating; Online Queue Numbering; Private Rooms Available; Must-Eat List Top 10; Waiting Area Available
Xingyanlan Renjia Halal Restaurant (Sanhe Nanli Branch),Beijing,97.0,Catering service; Chinese restaurant; Halal restaurant,10:00,22:00,World Park,4.6,Private Rooms Available; Birthday Set Meal Service; Waiting Area Available
Gutong Laoyuan Copper Pot Hot Pot · Halal (Dianmen Branch),Beijing,85.0,Catering Service; Chinese Restaurant; Halal Restaurant|Catering Service; Chinese Restaurant; Hot Pot Restaurant,11:00,22:00,Beihai Park,4.7,Must-Eat List Top 10; Online Queue Numbering; Outdoor Seating; Birthday Set Meal Service; Waiting Area Available; Private Rooms Available
Jingyi Restaurant (Liulichang Culture Street Branch),Beijing,90.0,Catering Service; Chinese Restaurant; Hubei Cuisine (E Cuisine),17:00,20:30,Yangmeizhuxie Street,4.5,Outdoor seating; Private rooms available; Birthday set meal service; Online queueing
Kuxiang · Jiangnan Courtyard Restaurant,Beijing,260.0,Catering Service; Chinese Restaurant; Hunan Cuisine (Xiang Cuisine),11:00,22:00,Today Art Museum,4.4,Private Rooms Available; Outdoor Seating; Waiting Area Available
Huixuan Ge Restaurant (Hunan Cuisine),Beijing,29.0,Catering Service; Chinese Restaurant; Hunan Cuisine (Xiang Cuisine),10:30,21:30,Luo Hong Photography Art Museum,4.1,Private Rooms Available; Waiting Area Available; Birthday Set Meal Service; Must-Eat List Top 10; Online Queue Numbering; Outdoor Seating
Xiao Wan Canteen (798 Art Zone Branch),Beijing,88.0,Catering Service; Chinese Restaurant; Hunan Cuisine (Xiang Cuisine),10:00,21:30,798 Art District,4.7,Must-Eat List Top 10; Birthday Set Meal Service; Private Rooms Available; Outdoor Seating; Waiting Area Available
Xiaoxiang Ge (Sanlitun SOHO Branch),Beijing,84.0,Catering Service; Chinese Restaurant; Hunan Cuisine (Xiang Cuisine),10:30,21:30,Fuguo Underwater World,4.8,Outdoor Seating; Waiting Area Available; Must-Eat List Top 10
